response_id,semester,course_code,course_name,faculty_id,student_id,student_name,rating_teaching,rating_content,rating_assessment,comment
R-0143,Spring 2026,LAW201,Corporate Law II,F-A02,STU56090,[Student_143],4,5,4,Assessment pattern is fair and reflects what was taught.
R-0183,Autumn 2025,LAW301,Jurisprudence,F-A01,STU56244,[Student_183],3,3,4,"Lectures are okay, could use more interactivity."
R-0206,Spring 2026,LAW102,Contract Law,F-A03,STU49862,[Student_206],4,5,4,"Explains concepts with real case examples, very engaging."
R-0125,Autumn 2025,LAW301,Jurisprudence,F-A06,STU63516,[Student_125],4,4,4,"Average pace, some topics covered in depth, others skipped."
R-0207,Spring 2026,LAW102,Contract Law,F-A03,STU20336,[Student_207],2,3,2,Assessment questions went beyond what was covered in lectures.
R-0109,Autumn 2025,LAW301,Jurisprudence,F-A08,STU44737,[Student_109],2,2,2,Class timings often extended without prior notice.
R-0099,Spring 2026,LAW301,Jurisprudence,F-A08,STU91973,[Student_099],5,5,5,"Encourages class discussion, never dismissive of student views."
R-0209,Autumn 2025,LAW301,Jurisprudence,F-A03,STU20646,[Student_209],3,3,3,Meets expectations for a core subject.
R-0036,Autumn 2025,LAW302,Criminal Law,F-A02,STU89276,[Student_036],5,5,4,Excellent pace and clear handouts every week.
R-0214,Spring 2026,LAW101,Constitutional Law I,F-A05,STU90658,[Student_214],4,5,5,Excellent pace and clear handouts every week.
R-0108,Spring 2026,LAW202,Law of Corporate Governance,F-A03,STU23069,[Student_108],2,2,2,Difficult to reach sir for doubts outside class hours.
R-0287,Autumn 2025,LAW301,Jurisprudence,F-A07,STU20752,[Student_287],2,3,1,Slides are text-heavy and hard to read from the back rows.
R-0131,Autumn 2025,LAW302,Criminal Law,F-A01,STU82641,[Student_131],3,3,3,"Standard teaching style, nothing exceptional."
R-0037,Autumn 2025,LAW102,Contract Law,F-A06,STU16658,[Student_037],4,4,3,"Lectures are okay, could use more interactivity."
R-0096,Spring 2026,LAW102,Contract Law,F-A07,STU52081,[Student_096],2,3,2,Feedback on assignments takes very long to arrive.
R-0047,Spring 2026,LAW301,Jurisprudence,F-A02,STU67154,[Student_047],2,2,3,Assessment questions went beyond what was covered in lectures.
R-0188,Autumn 2025,LAW102,Contract Law,F-A03,STU15741,[Student_188],3,4,3,"Average pace, some topics covered in depth, others skipped."
R-0079,Autumn 2025,LAW202,Law of Corporate Governance,F-A01,STU72031,[Student_079],5,5,4,Assessment pattern is fair and reflects what was taught.
R-0062,Autumn 2025,LAW202,Law of Corporate Governance,F-A08,STU81582,[Student_062],3,3,3,Slides are text-heavy and hard to read from the back rows.
R-0031,Autumn 2025,LAW101,Constitutional Law I,F-A02,STU20745,[Student_031],3,3,4,Meets expectations for a core subject.
R-0194,Spring 2026,LAW302,Criminal Law,F-A08,STU93816,[Student_194],4,4,3,"Lectures are okay, could use more interactivity."
R-0260,Autumn 2025,LAW202,Law of Corporate Governance,F-A04,STU40692,[Student_260],2,3,2,Lectures feel rushed; hard to take notes and understand together.
R-0274,Autumn 2025,LAW301,Jurisprudence,F-A01,STU64053,[Student_274],4,3,3,Course content is as per syllabus.
R-0022,Spring 2026,LAW101,Constitutional Law I,F-A01,STU38080,[Student_022],5,5,5,"Very approachable, clears doubts patiently after class."
R-0222,Spring 2026,LAW101,Constitutional Law I,F-A03,STU77568,[Student_222],3,2,3,"More moot court practice would help, too much theory right now."
R-0263,Spring 2026,LAW201,Corporate Law II,F-A07,STU41584,[Student_263],5,5,5,Assessment pattern is fair and reflects what was taught.
R-0077,Spring 2026,LAW201,Corporate Law II,F-A06,STU21221,[Student_077],1,3,1,Slides are text-heavy and hard to read from the back rows.
R-0277,Spring 2026,LAW302,Criminal Law,F-A05,STU78732,[Student_277],5,4,3,Assessment pattern is fair and reflects what was taught.
R-0173,Autumn 2025,LAW202,Law of Corporate Governance,F-A06,STU40671,[Student_173],2,3,2,Attendance policy is strict but lectures sometimes feel repetitive.
R-0265,Spring 2026,LAW301,Jurisprudence,F-A03,STU68954,[Student_265],5,5,3,"Very approachable, clears doubts patiently after class."
R-0159,Autumn 2025,LAW102,Contract Law,F-A03,STU83889,[Student_159],3,4,3,Course content is as per syllabus.
R-0290,Spring 2026,LAW101,Constitutional Law I,F-A03,STU21746,[Student_290],5,4,3,"Encourages class discussion, never dismissive of student views."
R-0091,Spring 2026,LAW201,Corporate Law II,F-A05,STU65723,[Student_091],5,5,4,"Very approachable, clears doubts patiently after class."
R-0090,Spring 2026,LAW102,Contract Law,F-A01,STU40340,[Student_090],5,5,3,Practical assignments helped me understand drafting better.
R-0200,Autumn 2025,LAW102,Contract Law,F-A02,STU21506,[Student_200],2,3,2,Feedback on assignments takes very long to arrive.
R-0151,Spring 2026,LAW201,Corporate Law II,F-A08,STU49507,[Student_151],4,4,4,Assessment pattern is fair and reflects what was taught.
R-0101,Autumn 2025,LAW101,Constitutional Law I,F-A04,STU39451,[Student_101],4,4,3,Course content is as per syllabus.
R-0157,Autumn 2025,LAW201,Corporate Law II,F-A06,STU79547,[Student_157],4,5,3,Moot court practice sessions are the highlight of the course.
R-0220,Spring 2026,LAW202,Law of Corporate Governance,F-A08,STU61629,[Student_220],1,2,1,Attendance policy is strict but lectures sometimes feel repetitive.
R-0153,Autumn 2025,LAW102,Contract Law,F-A07,STU67176,[Student_153],4,5,3,Makes difficult sections of the Act easy to follow.
R-0081,Spring 2026,LAW201,Corporate Law II,F-A05,STU35105,[Student_081],5,4,4,"Very approachable, clears doubts patiently after class."
R-0231,Autumn 2025,LAW201,Corporate Law II,F-A05,STU83464,[Student_231],5,5,4,Uses current case law to explain abstract principles - super helpful.
R-0136,Spring 2026,LAW102,Contract Law,F-A01,STU65872,[Student_136],4,5,5,"Explains concepts with real case examples, very engaging."
R-0126,Autumn 2025,LAW101,Constitutional Law I,F-A03,STU40775,[Student_126],3,2,1,Slides are text-heavy and hard to read from the back rows.
R-0172,Autumn 2025,LAW102,Contract Law,F-A07,STU15726,[Student_172],5,5,5,Practical assignments helped me understand drafting better.
R-0068,Autumn 2025,LAW302,Criminal Law,F-A01,STU41266,[Student_068],1,3,1,Assessment questions went beyond what was covered in lectures.
R-0030,Spring 2026,LAW101,Constitutional Law I,F-A01,STU34356,[Student_030],5,4,3,"Encourages class discussion, never dismissive of student views."
R-0118,Spring 2026,LAW101,Constitutional Law I,F-A07,STU89569,[Student_118],5,5,4,"Explains concepts with real case examples, very engaging."
R-0224,Spring 2026,LAW301,Jurisprudence,F-A08,STU24366,[Student_224],3,4,4,Course content is as per syllabus.
R-0084,Autumn 2025,LAW301,Jurisprudence,F-A05,STU71524,[Student_084],4,4,4,Uses current case law to explain abstract principles - super helpful.
R-0094,Spring 2026,LAW101,Constitutional Law I,F-A01,STU40005,[Student_094],3,3,3,Meets expectations for a core subject.
R-0292,Autumn 2025,LAW302,Criminal Law,F-A04,STU45180,[Student_292],2,3,2,Difficult to reach sir for doubts outside class hours.
R-0138,Autumn 2025,LAW102,Contract Law,F-A02,STU69469,[Student_138],5,5,4,Practical assignments helped me understand drafting better.
R-0236,Spring 2026,LAW101,Constitutional Law I,F-A07,STU82135,[Student_236],4,3,3,Course content is as per syllabus.
R-0027,Autumn 2025,LAW302,Criminal Law,F-A01,STU73092,[Student_027],2,3,2,Assessment questions went beyond what was covered in lectures.
R-0148,Spring 2026,LAW202,Law of Corporate Governance,F-A08,STU16895,[Student_148],5,5,3,Slides are well-structured and useful for revision.
R-0017,Autumn 2025,LAW202,Law of Corporate Governance,F-A01,STU84364,[Student_017],2,2,1,Slides are text-heavy and hard to read from the back rows.
R-0204,Spring 2026,LAW201,Corporate Law II,F-A07,STU94192,[Student_204],4,4,4,Assessment pattern is fair and reflects what was taught.
R-0208,Spring 2026,LAW201,Corporate Law II,F-A04,STU87569,[Student_208],4,5,4,Slides are well-structured and useful for revision.
R-0255,Autumn 2025,LAW202,Law of Corporate Governance,F-A07,STU33392,[Student_255],3,4,3,Meets expectations for a core subject.
R-0193,Autumn 2025,LAW201,Corporate Law II,F-A06,STU31842,[Student_193],5,5,5,Slides are well-structured and useful for revision.
R-0072,Autumn 2025,LAW301,Jurisprudence,F-A02,STU11658,[Student_072],5,4,4,Assessment pattern is fair and reflects what was taught.
R-0053,Autumn 2025,LAW302,Criminal Law,F-A06,STU29313,[Student_053],2,2,1,Assessment questions went beyond what was covered in lectures.
R-0297,Spring 2026,LAW201,Corporate Law II,F-A05,STU61502,[Student_297],2,3,2,Assessment questions went beyond what was covered in lectures.
R-0181,Autumn 2025,LAW101,Constitutional Law I,F-A05,STU47762,[Student_181],4,4,3,Meets expectations for a core subject.
R-0002,Spring 2026,LAW302,Criminal Law,F-A02,STU83563,[Student_002],5,4,3,Excellent pace and clear handouts every week.
R-0100,Autumn 2025,LAW202,Law of Corporate Governance,F-A01,STU25915,[Student_100],5,5,5,Moot court practice sessions are the highlight of the course.
R-0268,Spring 2026,LAW302,Criminal Law,F-A02,STU82362,[Student_268],2,3,1,Attendance policy is strict but lectures sometimes feel repetitive.
R-0278,Autumn 2025,LAW102,Contract Law,F-A04,STU20357,[Student_278],2,3,2,Slides are text-heavy and hard to read from the back rows.
R-0116,Spring 2026,LAW202,Law of Corporate Governance,F-A06,STU49599,[Student_116],4,4,3,"Average pace, some topics covered in depth, others skipped."
R-0295,Spring 2026,LAW201,Corporate Law II,F-A01,STU53874,[Student_295],5,5,5,Practical assignments helped me understand drafting better.
R-0158,Spring 2026,LAW301,Jurisprudence,F-A04,STU43550,[Student_158],3,3,3,"Standard teaching style, nothing exceptional."
R-0189,Spring 2026,LAW102,Contract Law,F-A01,STU43202,[Student_189],3,3,2,"More moot court practice would help, too much theory right now."
R-0008,Autumn 2025,LAW302,Criminal Law,F-A05,STU59735,[Student_008],5,4,5,Moot court practice sessions are the highlight of the course.
R-0102,Autumn 2025,LAW101,Constitutional Law I,F-A08,STU76698,[Student_102],3,3,2,Difficult to reach sir for doubts outside class hours.
R-0111,Autumn 2025,LAW301,Jurisprudence,F-A01,STU66881,[Student_111],5,5,3,Slides are well-structured and useful for revision.
R-0169,Spring 2026,LAW301,Jurisprudence,F-A07,STU65496,[Student_169],1,3,3,"More moot court practice would help, too much theory right now."
R-0261,Spring 2026,LAW302,Criminal Law,F-A06,STU46064,[Student_261],5,5,4,Moot court practice sessions are the highlight of the course.
R-0233,Spring 2026,LAW201,Corporate Law II,F-A01,STU43612,[Student_233],2,3,3,"Too much reliance on textbook, less classroom explanation."
R-0048,Spring 2026,LAW101,Constitutional Law I,F-A04,STU26334,[Student_048],4,4,4,"Lectures are okay, could use more interactivity."
R-0162,Spring 2026,LAW101,Constitutional Law I,F-A01,STU87867,[Student_162],4,3,4,Course content is as per syllabus.
R-0104,Autumn 2025,LAW202,Law of Corporate Governance,F-A04,STU45018,[Student_104],3,3,3,Slides are text-heavy and hard to read from the back rows.
R-0250,Autumn 2025,LAW301,Jurisprudence,F-A03,STU86434,[Student_250],5,4,4,"Encourages class discussion, never dismissive of student views."
R-0275,Autumn 2025,LAW102,Contract Law,F-A04,STU58916,[Student_275],2,3,2,
R-0119,Autumn 2025,LAW201,Corporate Law II,F-A04,STU15167,[Student_119],1,3,3,Difficult to reach sir for doubts outside class hours.
R-0110,Autumn 2025,LAW201,Corporate Law II,F-A07,STU73956,[Student_110],3,3,3,"More moot court practice would help, too much theory right now."
R-0144,Autumn 2025,LAW101,Constitutional Law I,F-A04,STU58176,[Student_144],1,3,3,Assessment questions went beyond what was covered in lectures.
R-0085,Spring 2026,LAW202,Law of Corporate Governance,F-A08,STU18564,[Student_085],5,5,3,"Explains concepts with real case examples, very engaging."
R-0041,Autumn 2025,LAW102,Contract Law,F-A04,STU31299,[Student_041],3,3,3,Meets expectations for a core subject.
R-0142,Spring 2026,LAW202,Law of Corporate Governance,F-A02,STU83620,[Student_142],1,3,3,"More moot court practice would help, too much theory right now."
R-0045,Spring 2026,LAW201,Corporate Law II,F-A06,STU44237,[Student_045],3,3,3,Meets expectations for a core subject.
R-0294,Autumn 2025,LAW201,Corporate Law II,F-A05,STU27758,[Student_294],5,5,3,Uses current case law to explain abstract principles - super helpful.
R-0063,Spring 2026,LAW301,Jurisprudence,F-A04,STU54057,[Student_063],5,4,5,Assessment pattern is fair and reflects what was taught.
R-0190,Spring 2026,LAW101,Constitutional Law I,F-A04,STU26315,[Student_190],4,4,3,Course content is as per syllabus.
R-0239,Autumn 2025,LAW202,Law of Corporate Governance,F-A08,STU84443,[Student_239],1,2,2,Slides are text-heavy and hard to read from the back rows.
R-0043,Spring 2026,LAW102,Contract Law,F-A02,STU55830,[Student_043],2,2,2,Feedback on assignments takes very long to arrive.
R-0300,Autumn 2025,LAW302,Criminal Law,F-A05,STU68860,[Student_300],5,5,3,Moot court practice sessions are the highlight of the course.
R-0174,Spring 2026,LAW301,Jurisprudence,F-A04,STU84766,[Student_174],2,3,3,Feedback on assignments takes very long to arrive.
R-0028,Autumn 2025,LAW102,Contract Law,F-A07,STU47388,[Student_028],5,5,5,"Explains concepts with real case examples, very engaging."
R-0166,Spring 2026,LAW202,Law of Corporate Governance,F-A07,STU53213,[Student_166],4,4,3,Course content is as per syllabus.
R-0088,Spring 2026,LAW202,Law of Corporate Governance,F-A05,STU37235,[Student_088],4,5,3,Practical assignments helped me understand drafting better.
R-0218,Spring 2026,LAW302,Criminal Law,F-A08,STU57943,[Student_218],3,3,3,Course content is as per syllabus.
R-0012,Autumn 2025,LAW202,Law of Corporate Governance,F-A06,STU24371,[Student_012],3,2,1,Difficult to reach sir for doubts outside class hours.
R-0059,Autumn 2025,LAW201,Corporate Law II,F-A08,STU80798,[Student_059],2,3,2,Assessment questions went beyond what was covered in lectures.
R-0299,Spring 2026,LAW302,Criminal Law,F-A04,STU28242,[Student_299],3,3,2,"Too much reliance on textbook, less classroom explanation."
R-0154,Autumn 2025,LAW101,Constitutional Law I,F-A08,STU93904,[Student_154],3,3,2,Attendance policy is strict but lectures sometimes feel repetitive.
R-0035,Spring 2026,LAW102,Contract Law,F-A08,STU49240,[Student_035],1,3,3,"More moot court practice would help, too much theory right now."
R-0164,Autumn 2025,LAW202,Law of Corporate Governance,F-A03,STU15130,[Student_164],4,5,4,Makes difficult sections of the Act easy to follow.
R-0232,Spring 2026,LAW302,Criminal Law,F-A05,STU29198,[Student_232],5,5,4,"Encourages class discussion, never dismissive of student views."
R-0225,Autumn 2025,LAW202,Law of Corporate Governance,F-A05,STU86483,[Student_225],5,5,3,Slides are well-structured and useful for revision.
R-0050,Spring 2026,LAW102,Contract Law,F-A04,STU49446,[Student_050],2,3,3,Class timings often extended without prior notice.
R-0244,Spring 2026,LAW101,Constitutional Law I,F-A05,STU44282,[Student_244],5,5,3,Slides are well-structured and useful for revision.
R-0273,Spring 2026,LAW202,Law of Corporate Governance,F-A08,STU34123,[Student_273],5,4,5,Makes difficult sections of the Act easy to follow.
R-0280,Spring 2026,LAW101,Constitutional Law I,F-A02,STU32463,[Student_280],5,4,3,"Encourages class discussion, never dismissive of student views."
R-0267,Spring 2026,LAW302,Criminal Law,F-A04,STU34906,[Student_267],5,4,4,Makes difficult sections of the Act easy to follow.
R-0106,Spring 2026,LAW301,Jurisprudence,F-A08,STU34727,[Student_106],5,5,4,"Encourages class discussion, never dismissive of student views."
R-0234,Autumn 2025,LAW302,Criminal Law,F-A08,STU27992,[Student_234],5,5,4,"Encourages class discussion, never dismissive of student views."
R-0176,Autumn 2025,LAW102,Contract Law,F-A05,STU47363,[Student_176],4,5,3,Makes difficult sections of the Act easy to follow.
R-0160,Spring 2026,LAW301,Jurisprudence,F-A08,STU71462,[Student_160],2,3,1,Would appreciate more examples from Indian jurisdiction.
R-0179,Autumn 2025,LAW201,Corporate Law II,F-A04,STU28035,[Student_179],4,4,3,Course content is as per syllabus.
R-0073,Autumn 2025,LAW202,Law of Corporate Governance,F-A08,STU30052,[Student_073],4,4,4,"Lectures are okay, could use more interactivity."
R-0060,Autumn 2025,LAW101,Constitutional Law I,F-A03,STU63424,[Student_060],5,4,5,Moot court practice sessions are the highlight of the course.
R-0044,Autumn 2025,LAW201,Corporate Law II,F-A04,STU19099,[Student_044],5,5,4,
R-0213,Spring 2026,LAW302,Criminal Law,F-A06,STU71141,[Student_213],4,5,4,Makes difficult sections of the Act easy to follow.
R-0152,Spring 2026,LAW102,Contract Law,F-A03,STU33028,[Student_152],4,5,5,Excellent pace and clear handouts every week.
R-0054,Autumn 2025,LAW101,Constitutional Law I,F-A01,STU92544,[Student_054],1,3,2,Attendance policy is strict but lectures sometimes feel repetitive.
R-0248,Autumn 2025,LAW202,Law of Corporate Governance,F-A04,STU79228,[Student_248],1,3,2,Attendance policy is strict but lectures sometimes feel repetitive.
R-0013,Spring 2026,LAW102,Contract Law,F-A03,STU79352,[Student_013],5,5,5,Assessment pattern is fair and reflects what was taught.
R-0177,Spring 2026,LAW101,Constitutional Law I,F-A03,STU39102,[Student_177],5,5,3,"Encourages class discussion, never dismissive of student views."
R-0078,Spring 2026,LAW102,Contract Law,F-A07,STU74332,[Student_078],4,4,4,"Standard teaching style, nothing exceptional."
R-0257,Spring 2026,LAW302,Criminal Law,F-A07,STU46129,[Student_257],3,3,1,Assessment questions went beyond what was covered in lectures.
R-0238,Autumn 2025,LAW101,Constitutional Law I,F-A02,STU14763,[Student_238],3,4,3,Course content is as per syllabus.
R-0201,Spring 2026,LAW302,Criminal Law,F-A06,STU93584,[Student_201],2,3,1,"More moot court practice would help, too much theory right now."
R-0192,Autumn 2025,LAW201,Corporate Law II,F-A05,STU81496,[Student_192],5,5,4,Excellent pace and clear handouts every week.
R-0229,Spring 2026,LAW202,Law of Corporate Governance,F-A07,STU98587,[Student_229],2,3,2,Feedback on assignments takes very long to arrive.
R-0293,Autumn 2025,LAW202,Law of Corporate Governance,F-A03,STU20082,[Student_293],5,5,5,Slides are well-structured and useful for revision.
R-0286,Spring 2026,LAW201,Corporate Law II,F-A08,STU99088,[Student_286],5,5,4,"Encourages class discussion, never dismissive of student views."
R-0266,Autumn 2025,LAW201,Corporate Law II,F-A02,STU87015,[Student_266],4,4,4,Assessment pattern is fair and reflects what was taught.
R-0262,Spring 2026,LAW101,Constitutional Law I,F-A03,STU78742,[Student_262],5,5,5,"Explains concepts with real case examples, very engaging."
R-0114,Spring 2026,LAW102,Contract Law,F-A02,STU40433,[Student_114],3,3,1,Assessment questions went beyond what was covered in lectures.
R-0133,Autumn 2025,LAW102,Contract Law,F-A05,STU41186,[Student_133],5,4,4,"Explains concepts with real case examples, very engaging."
R-0051,Spring 2026,LAW202,Law of Corporate Governance,F-A01,STU67954,[Student_051],5,5,5,Assessment pattern is fair and reflects what was taught.
R-0006,Autumn 2025,LAW201,Corporate Law II,F-A06,STU40512,[Student_006],2,3,1,Lectures feel rushed; hard to take notes and understand together.
R-0055,Spring 2026,LAW301,Jurisprudence,F-A04,STU65724,[Student_055],3,3,3,"Standard teaching style, nothing exceptional."
R-0221,Spring 2026,LAW201,Corporate Law II,F-A06,STU15938,[Student_221],3,3,1,Assessment questions went beyond what was covered in lectures.
R-0170,Autumn 2025,LAW301,Jurisprudence,F-A06,STU35166,[Student_170],5,5,5,Moot court practice sessions are the highlight of the course.
R-0205,Spring 2026,LAW101,Constitutional Law I,F-A08,STU87042,[Student_205],2,3,3,Would appreciate more examples from Indian jurisdiction.
R-0289,Autumn 2025,LAW101,Constitutional Law I,F-A02,STU27367,[Student_289],2,3,1,Feedback on assignments takes very long to arrive.
R-0023,Spring 2026,LAW301,Jurisprudence,F-A03,STU22704,[Student_023],5,4,3,Uses current case law to explain abstract principles - super helpful.
R-0086,Autumn 2025,LAW202,Law of Corporate Governance,F-A08,STU49824,[Student_086],2,2,3,Lectures feel rushed; hard to take notes and understand together.
R-0182,Autumn 2025,LAW102,Contract Law,F-A05,STU75513,[Student_182],5,4,3,Assessment pattern is fair and reflects what was taught.
R-0128,Spring 2026,LAW302,Criminal Law,F-A02,STU38477,[Student_128],1,3,2,Slides are text-heavy and hard to read from the back rows.
